variable,label,scale_type,OldTheme,MainTheme,Subtheme
Q1AGEB,AGEB,Nominal (Abierta),Internal,Internal,Internal
Q2Distrito electoral local,Distrito electoral local,Razon,Internal,Internal,Internal
Q3Colonia,Colonia,Nominal (Abierta),Internal,Internal,Internal
Q4Numero de encuestador,Numero de encuestador,Razon,Internal,Internal,Internal
Q5,Conoce o puede mencionar el nombre de los actuales regidores?,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.1,María Dolores Adame Alvarado,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.2,Alma Edith Arredondo Salinas,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.3,Héctor Hugo Avitia Arellanes,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.4,Amparo Beltrán Ceballos,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.5,Jorge Marcial Bueno Quiroz,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.6,Mayra Karina Castillo Tapia,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.7,Antonio Domínguez Alderete,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.8,Karla Michael Escalante Ramírez,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.9,Ana Carmen Estrada García,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.10,Joob Quintin Flores Silva,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.11,Austria Elizabeth Galindo Rodríguez,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.12,Jorge Alberto Gutiérrez Casas,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.13,Tania Maldonado Garduño,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.14,Pedro Alberto Matus Peña,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.15,Martha Patricia Mendoza Rodríguez,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.16,Vanessa Mora de la O,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.17,Mireya Porras Armendáriz,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.18,Yolanda Cecilia Reyes Castro,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.19,Victor Manuel Talamantes Vázquez,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q6.20,Enrique Torres Valadez,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q7,Puede decirme el nombre del síndico o síndica municipal?,Binaria,Representation,Governance & Civic Engagement,Political Representation
Q8,Conoce o puede nombrar algun diputado local/ estatal de su distrito?,Binaria,Representation,Governance & Civic Engagement,Political Representation
