"","X.1","X","variable","label","type","has_value_labels","value_labels","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","scale_type","MainTheme","Subtheme","notes"
"1",1,NA,"I1","FOLIO B","",NA,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion","Internal","Internal",NA
"2",2,NA,"I2","ResultID","",NA,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion","Internal","Internal",NA
"3",3,1,"Q1","AGEB","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion","Internal","Internal",NA
"4",4,2,"Q2","Distrito electoral local","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion","Internal","Internal",NA
"5",5,3,"Q3","Colonia","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion","Internal","Internal",NA
"6",6,4,"Q4","Numero de encuestador","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion","Internal","Internal",NA
"7",7,5,"Q5","¿Conoce o puede mencionar el nombre de los actuales regidores? NO AYUDAR CON NOMBRES","Escala 1-2",TRUE,"1=Sí puede mencionar por lo menos 1 regidor;2=No conoce ningún regidor","","Sí puede mencionar por lo menos 1 regidor","No conoce ningún regidor","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"8",8,6,"Q6.1","Alejandro Daniel Acosta Aviña","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"9",9,7,"Q6.2","Maria Dolores Adame Alvarado","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"10",10,8,"Q6.3","Alejandro Alberto Jimenez","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"11",11,9,"Q6.4","Laura Fernanda Avalos Medina","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"12",12,10,"Q6.5","Hector Hugo Avitia Arellanes","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"13",13,11,"Q6.6","Hector Hugo Avitia Corral","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"14",14,12,"Q6.7","Jorge Marcial Bueno Quiroz","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"15",15,13,"Q6.8","Mayra Karina Castillo Tapia","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"16",16,14,"Q6.9","Luz Clara Cristo Sosa","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"17",17,15,"Q6.10","Antonio Dominguez Alderete","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
"18",18,16,"Q6.11","Karla Michaeel Escalante Ramirez","Escala 1-2",TRUE,"0=No seleccionado;1=Seleccionado","No seleccionado","Seleccionado","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria","Governance & Civic Engagement","Political Representation",NA
