"","variable","label","type","has_value_labels","value_labels","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","scale_type","notes"
"1","Q1","AGEB","Numérico",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion",NA
"2","Q2","Distrito electoral local","Escala 2-10",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Necesita Clasificacion",NA
"3","Q4","En comparación con el año pasado, Diría usted que su situación económica personal ha mejorado, ha empeorado o sigue igual? (Aclaración: situación del 2024 con respecto a 2023)","Escala 1-6",TRUE,"1=Empeorado mucho;2=Empeorado algo;3=Igual;4=Mejorado algo;5=Mejorado mucho;6=NS/NC","","Empeorado mucho","Empeorado algo","Igual","Mejorado algo","Mejorado mucho","NS/NC","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"4","Q5","Con el total del ingreso familiar, usted diría que...? (En 2024)","Escala 1-5",TRUE,"1=Les alcanza bien y pueden ahorrar;2=Les alcanza justo, sin grandes dificultades;3=No les alcanza y tienen dificultades;4=No les alcanza y tienen grandes dificultades;5=NS/NC","","Les alcanza bien y pueden ahorrar","Les alcanza justo, sin grandes dificultades","No les alcanza y tienen dificultades","No les alcanza y tienen grandes dificultades","NS/NC","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"5","Q6","En su familia, hay por lo menos 1 o más estudiantes de cualquier nivel educativo?","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"6","Q7","En una escala del 1 al 10, que tan satisfecho esta con la educacion que recibe? EDUCACIÓN BASICA: PRIMARIA Y SECUNDARIA","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=No hay ningun estudiante","","1","2","3","4","5","6","7","8","9","10","No hay ningun estudiante","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"7","Q8","(HOMOLOGACION) SOLO SI CONTESTO DEL 1 al 6 Por qué no se siente satisfecho? EDUCACIÓN BÁSICA (Si contesto 7 o mas, dejar vacío)","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"8","Q9","Indique si la escuela BASICA es publica o privada","Escala 1-3",TRUE,"1=Publica;2=Privada;3=No hay","","Publica","Privada","No hay","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"9","Q10","En una escala del 1 al 10, Que tan satisfecho esta con la educacion que recibe? EDUCACION MEDIA","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=No hay ningun estudiante","","1","2","3","4","5","6","7","8","9","10","No hay ningun estudiante","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"10","Q11","(HOMOLOGACION) SOLO SI CONTESTO DEL 1 al 6 Por que no se siente satisfecho? EDUCACIÓN MEDIA (Si contesto 7 o mas, dejar vacío)","Texto",FALSE,"","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nominal (Abierta)",NA
"11","Q12","Indique si la escuela MEDIA es publica o privada","Escala 1-3",TRUE,"1=Publica;2=Privada;3=No hay","","Publica","Privada","No hay","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"12","Q13","En una escala del 1 al 10, Qué tan satisfecho esta con la educacion que recibe? EDUCACION SUPERIOR","Escala 1-10",TRUE,"1=1;2=2;3=3;4=4;5=5;6=6;7=7;8=8;9=9;10=10;11=No hay ningun estudiante","","1","2","3","4","5","6","7","8","9","10","No hay ningun estudiante","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Intervalo",NA
"13","Q14","(HOMOLOGACION) SOLO SI CONTESTO DEL 1 al 6 Por que no se siente satisfecho? EDUCACION MEDIA (Si contesto 7 o mas, dejar vacio)","Texto",TRUE,"8= ","","","","","","","",""," ","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nominal (Abierta)",NA
"14","Q15","Indique si la escuela SUPERIOR es publica o privada","Escala 1-3",TRUE,"1=Publica;2=Privada;3=No hay","","Publica","Privada","No hay","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Categorica",NA
"15","Q16.1","Actividades dentro del hogar (internet, tv, radio, lectura, ejercicio, videojuegos, etc.)","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"16","Q16.2","Fue a un parque o estuvo en contacto con la naturaleza","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"17","Q16.3","Visito un centro y/o plaza comercial","Escala 1-2",TRUE,"1=Sí;2=No;5= ","","Sí","No","",""," ","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"18","Q16.4","Visito las segundas y/o bazares","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"19","Q16.5","Fue a una cantina, bar o antro","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"20","Q16.6","Fue al cine","Escala 1-2",TRUE,"1=Sí;2=No","","Sí","No","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"21","Q16.7","Asistio a una biblioteca","Escala 1-2",TRUE,"1=Sí;2=No;5= ","","Sí","No","",""," ","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
"22","Q16.8","Asistio a un concierto o espectaculo de musica","Escala 1-2",TRUE,"1=Sí;2=No;11= ","","Sí","No","","","","","","","",""," ","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Binaria",NA
