"","value","district","gender","age_group"
"1","Les alcanza justo, sin grandes dificultades","4","Mujer","3"
"2","Les alcanza bien y pueden ahorrar","4","Hombre","1"
"3","Les alcanza justo, sin grandes dificultades","4","Hombre","3"
"4","No les alcanza y tienen dificultades","4","Mujer","4"
"5","Les alcanza justo, sin grandes dificultades","4","Mujer","1"
"6","Les alcanza justo, sin grandes dificultades","4","Hombre","4"
"7","No les alcanza y tienen dificultades","4","Hombre","3"
"8","Les alcanza bien y pueden ahorrar","4","Mujer","4"
"9","Les alcanza justo, sin grandes dificultades","4","Hombre","1"
"10","Les alcanza justo, sin grandes dificultades","4","Mujer","4"
"11","Les alcanza bien y pueden ahorrar","4","Mujer","4"
"12","Les alcanza justo, sin grandes dificultades","4","Hombre","4"
"13","Les alcanza justo, sin grandes dificultades","4","Hombre","4"
"14","Les alcanza justo, sin grandes dificultades","4","Mujer","4"
"15","No les alcanza y tienen grandes dificultades","4","Hombre","3"
"16","Les alcanza justo, sin grandes dificultades","4","Mujer","2"
"17","Les alcanza justo, sin grandes dificultades","4","Mujer","1"
"18","No les alcanza y tienen dificultades","4","Hombre","3"
"19","Les alcanza justo, sin grandes dificultades","4","Mujer","1"
"20","Les alcanza justo, sin grandes dificultades","4","Hombre","2"
"21","Les alcanza justo, sin grandes dificultades","4","Mujer","3"
"22","Les alcanza justo, sin grandes dificultades","4","Mujer","4"
"23","Les alcanza bien y pueden ahorrar","4","Hombre","3"
"24","Les alcanza justo, sin grandes dificultades","4","Mujer","2"
"25","Les alcanza justo, sin grandes dificultades","4","Hombre","2"
"26","Les alcanza justo, sin grandes dificultades","4","Hombre","4"
"27","Les alcanza bien y pueden ahorrar","4","Hombre","4"
"28","Les alcanza justo, sin grandes dificultades","4","Hombre","2"
"29","Les alcanza justo, sin grandes dificultades","4","Mujer","3"
"30","Les alcanza justo, sin grandes dificultades","4","Hombre","3"
"31","Les alcanza justo, sin grandes dificultades","4","Mujer","2"
"32","No les alcanza y tienen dificultades","2","Hombre","2"
"33","Les alcanza justo, sin grandes dificultades","2","Mujer","1"
"34","Les alcanza justo, sin grandes dificultades","2","Hombre","1"
"35","Les alcanza bien y pueden ahorrar","2","Mujer","1"
"36","Les alcanza justo, sin grandes dificultades","2","Mujer","4"
"37","Les alcanza justo, sin grandes dificultades","2","Mujer","2"
"38","No les alcanza y tienen dificultades","2","Hombre","3"
"39","Les alcanza justo, sin grandes dificultades","2","Mujer","2"
"40","Les alcanza justo, sin grandes dificultades","2","Hombre","2"
"41","Les alcanza justo, sin grandes dificultades","2","Mujer","3"
"42","Les alcanza justo, sin grandes dificultades","2","Hombre","2"
"43","Les alcanza justo, sin grandes dificultades","2","Hombre","1"
"44","Les alcanza justo, sin grandes dificultades","2","Hombre","1"
"45","Les alcanza justo, sin grandes dificultades","2","Mujer","2"
"46","Les alcanza justo, sin grandes dificultades","2","Mujer","2"
"47","Les alcanza justo, sin grandes dificultades","2","Hombre","2"
"48","No les alcanza y tienen dificultades","2","Hombre","2"
"49","No les alcanza y tienen dificultades","2","Hombre","4"
"50","No les alcanza y tienen dificultades","2","Hombre","4"
"51","No les alcanza y tienen dificultades","2","Hombre","2"
"52","No les alcanza y tienen dificultades","2","Mujer","3"
"53","Les alcanza justo, sin grandes dificultades","2","Hombre","1"
"54","Les alcanza justo, sin grandes dificultades","2","Mujer","3"
"55","Les alcanza justo, sin grandes dificultades","2","Hombre","2"
"56","Les alcanza justo, sin grandes dificultades","2","Hombre","3"
"57","No les alcanza y tienen dificultades","2","Mujer","4"
"58","Les alcanza justo, sin grandes dificultades","2","Mujer","1"
"59","Les alcanza justo, sin grandes dificultades","2","Hombre","3"
"60","Les alcanza justo, sin grandes dificultades","2","Hombre","2"
"61","Les alcanza justo, sin grandes dificultades","2","Hombre","1"
"62","Les alcanza justo, sin grandes dificultades","2","Mujer","2"
"63","Les alcanza bien y pueden ahorrar","2","Hombre","2"
"64","Les alcanza justo, sin grandes dificultades","2","Mujer","2"
"65","No les alcanza y tienen dificultades","2","Hombre","1"
"66","No les alcanza y tienen dificultades","2","Hombre","3"
"67","Les alcanza bien y pueden ahorrar","2","Mujer","4"
"68","Les alcanza bien y pueden ahorrar","2","Mujer","2"
"69","No les alcanza y tienen dificultades","2","Mujer","3"
"70","Les alcanza justo, sin grandes dificultades","2","Mujer","4"
"71","No les alcanza y tienen dificultades","2","Mujer","4"
"72","Les alcanza justo, sin grandes dificultades","2","Mujer","4"
"73","Les alcanza justo, sin grandes dificultades","2","Mujer","4"
"74","Les alcanza justo, sin grandes dificultades","2","Hombre","4"
"75","No les alcanza y tienen dificultades","2","Mujer","4"
"76","Les alcanza justo, sin grandes dificultades","2","Hombre","4"
"77","No les alcanza y tienen dificultades","2","Mujer","4"
"78","Les alcanza justo, sin grandes dificultades","2","Hombre","4"
"79","Les alcanza justo, sin grandes dificultades","2","Mujer","1"
"80","Les alcanza justo, sin grandes dificultades","2","Mujer","1"
"81","Les alcanza justo, sin grandes dificultades","2","Hombre","4"
"82","Les alcanza bien y pueden ahorrar","2","Hombre","4"
"83","No les alcanza y tienen dificultades","2","Mujer","2"
"84","No les alcanza y tienen dificultades","2","Mujer","4"
"85","Les alcanza justo, sin grandes dificultades","2","Hombre","4"
"86","Les alcanza justo, sin grandes dificultades","2","Mujer","4"
"87","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"88","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"89","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"90","Les alcanza bien y pueden ahorrar","3","Hombre","2"
"91","Les alcanza bien y pueden ahorrar","3","Hombre","1"
"92","No les alcanza y tienen dificultades","3","Hombre","1"
"93","Les alcanza bien y pueden ahorrar","3","Hombre","2"
"94","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"95","Les alcanza bien y pueden ahorrar","3","Hombre","2"
"96","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"97","Les alcanza justo, sin grandes dificultades","7","Hombre","3"
"98","No les alcanza y tienen dificultades","7","Mujer","3"
"99","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"100","No les alcanza y tienen dificultades","7","Mujer","3"
"101","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"102","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"103","Les alcanza justo, sin grandes dificultades","7","Mujer","2"
"104","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"105","Les alcanza justo, sin grandes dificultades","7","Mujer","1"
"106","No les alcanza y tienen dificultades","7","Mujer","3"
"107","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"108","Les alcanza bien y pueden ahorrar","7","Hombre","3"
"109","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"110","Les alcanza justo, sin grandes dificultades","7","Hombre","3"
"111","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"112","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"113","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"114","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"115","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"116","No les alcanza y tienen dificultades","7","Hombre","2"
"117","No les alcanza y tienen grandes dificultades","7","Hombre","4"
"118","Les alcanza justo, sin grandes dificultades","7","Hombre","1"
"119","No les alcanza y tienen grandes dificultades","7","Hombre","3"
"120","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"121","No les alcanza y tienen grandes dificultades","7","Mujer","4"
"122","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"123","No les alcanza y tienen grandes dificultades","7","Mujer","3"
"124","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"125","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"126","No les alcanza y tienen grandes dificultades","7","Hombre","4"
"127","Les alcanza bien y pueden ahorrar","7","Mujer","1"
"128","Les alcanza bien y pueden ahorrar","7","Mujer","4"
"129","No les alcanza y tienen dificultades","7","Hombre","4"
"130","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"131","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"132","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"133","Les alcanza justo, sin grandes dificultades","7","Mujer","2"
"134","Les alcanza justo, sin grandes dificultades","7","Mujer","2"
"135","No les alcanza y tienen dificultades","7","Hombre","2"
"136","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"137","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"138","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"139","No les alcanza y tienen dificultades","7","Hombre","4"
"140","Les alcanza justo, sin grandes dificultades","7","Hombre","1"
"141","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"142","Les alcanza bien y pueden ahorrar","7","Hombre","1"
"143","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"144","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"145","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"146","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"147","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"148","No les alcanza y tienen dificultades","7","Hombre","3"
"149","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"150","No les alcanza y tienen dificultades","7","Hombre","3"
"151","No les alcanza y tienen dificultades","7","Hombre","3"
"152","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"153","No les alcanza y tienen dificultades","7","Hombre","2"
"154","No les alcanza y tienen dificultades","7","Mujer","2"
"155","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"156","Les alcanza bien y pueden ahorrar","7","Mujer","4"
"157","Les alcanza bien y pueden ahorrar","7","Hombre","3"
"158","No les alcanza y tienen grandes dificultades","7","Hombre","3"
"159","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"160","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"161","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"162","Les alcanza justo, sin grandes dificultades","7","Hombre","1"
"163","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"164","Les alcanza bien y pueden ahorrar","7","Mujer","3"
"165","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"166","No les alcanza y tienen dificultades","7","Mujer","2"
"167","Les alcanza justo, sin grandes dificultades","7","Mujer","2"
"168","Les alcanza bien y pueden ahorrar","7","Hombre","4"
"169","Les alcanza justo, sin grandes dificultades","7","Mujer","1"
"170","No les alcanza y tienen dificultades","7","Hombre","1"
"171","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"172","Les alcanza bien y pueden ahorrar","7","Mujer","3"
"173","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"174","Les alcanza bien y pueden ahorrar","7","Hombre","4"
"175","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"176","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"177","Les alcanza justo, sin grandes dificultades","7","Mujer","1"
"178","No les alcanza y tienen dificultades","7","Mujer","4"
"179","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"180","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"181","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"182","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"183","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"184","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"185","Les alcanza justo, sin grandes dificultades","7","Hombre","1"
"186","Les alcanza justo, sin grandes dificultades","7","Hombre","3"
"187","No les alcanza y tienen grandes dificultades","7","Mujer","3"
"188","Les alcanza bien y pueden ahorrar","7","Hombre","1"
"189","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"190","Les alcanza justo, sin grandes dificultades","7","Mujer","2"
"191","Les alcanza justo, sin grandes dificultades","7","Mujer","2"
"192","Les alcanza justo, sin grandes dificultades","7","Hombre","2"
"193","No les alcanza y tienen dificultades","7","Mujer","4"
"194","Les alcanza bien y pueden ahorrar","7","Mujer","4"
"195","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"196","Les alcanza justo, sin grandes dificultades","7","Mujer","2"
"197","Les alcanza bien y pueden ahorrar","7","Hombre","3"
"198","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"199","Les alcanza justo, sin grandes dificultades","7","Mujer","3"
"200","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"201","Les alcanza bien y pueden ahorrar","7","Hombre","4"
"202","Les alcanza justo, sin grandes dificultades","7","Hombre","3"
"203","Les alcanza justo, sin grandes dificultades","7","Hombre","3"
"204","Les alcanza justo, sin grandes dificultades","7","Hombre","4"
"205","No les alcanza y tienen dificultades","7","Hombre","4"
"206","Les alcanza bien y pueden ahorrar","7","Mujer","4"
"207","Les alcanza bien y pueden ahorrar","7","Hombre","2"
"208","No les alcanza y tienen dificultades","7","Hombre","3"
"209","Les alcanza bien y pueden ahorrar","7","Hombre","4"
"210","Les alcanza justo, sin grandes dificultades","7","Mujer","4"
"211","No les alcanza y tienen grandes dificultades","7","Hombre","4"
